,Data,Hora,Home,S,Away,Res,,
0,20.05.2011,21:00,Bragantino,-,ABC FC,1:1 (1:1),,
1,,21:00,Salgueiro AC,-,São Caetano,1:1 (1:0),,
2,,21:00,Goiás EC,-,Grêmio Prudente,1:0 (0:0),,
3,21.05.2011,16:20,Portuguesa (SP),-,Clube Náutico,4:0 (1:0),,
4,,16:20,Ponte Preta,-,ASA,5:0 (4:0),,
5,,16:20,Sport Club Recife,-,Icasa,1:0 (1:0),,
6,,16:20,Americana Futebol,-,Duque de Caxias,1:1 (0:0),,
7,,16:20,Criciúma EC,-,Guarani FC,2:2 (0:0),,
8,,16:20,EC Vitória BA,-,Vila Nova FC GO,1:0 (0:0),,
9,,21:00,Boa EC,-,Paraná Clube,1:2 (0:0),,
10,24.05.2011,21:00,ASA,-,Americana Futebol,2:1 (0:0),,
11,,21:00,Paraná Clube,-,Portuguesa (SP),1:1 (1:0),,
12,27.05.2011,21:00,São Caetano,-,Boa EC,0:2 (0:1),,
13,,21:00,Grêmio Prudente,-,Bragantino,3:2 (0:1),,
14,,21:00,Vila Nova FC GO,-,Ponte Preta,3:1 (1:1),,
15,28.05.2011,16:20,Guarani FC,-,Sport Club Recife,1:1 (1:0),,
16,,16:20,Duque de Caxias,-,Criciúma EC,1:2 (0:2),,
17,,16:20,Clube Náutico,-,Goiás EC,1:0 (0:0),,
18,,16:20,Icasa,-,EC Vitória BA,3:1 (2:0),,
19,,21:00,ABC FC,-,Salgueiro AC,1:1 (1:0),,
20,31.05.2011,21:00,Sport Club Recife,-,Grêmio Barueri,1:0 (1:0),,
21,,21:00,Goiás EC,-,ASA,4:1 (1:0),,
22,03.06.2011,21:00,Bragantino,-,São Caetano,1:2 (0:1),,
23,,21:00,Portuguesa (SP),-,ABC FC,2:3 (2:3),,
24,,21:00,EC Vitória BA,-,Guarani FC,0:1 (0:0),,
25,04.06.2011,16:20,Ponte Preta,-,Icasa,4:1 (4:0),,
26,,16:20,Americana Futebol,-,Paraná Clube,1:0 (0:0),,
27,,16:20,Salgueiro AC,-,Duque de Caxias,2:0 (1:0),,
28,,16:20,Criciúma EC,-,Clube Náutico,0:0 (0:0),,
29,,21:00,Boa EC,-,Vila Nova FC GO,0:0 (0:0),,
30,07.06.2011,21:00,ABC FC,-,Goiás EC,2:0 (0:0),,
31,08.06.2011,21:00,São Caetano,-,Ponte Preta,1:1 (1:0),,
32,10.06.2011,21:00,Guarani FC,-,Boa EC,2:0 (0:0),,
33,,21:00,Duque de Caxias,-,EC Vitória BA,2:3 (1:1),,
34,,21:00,Paraná Clube,-,Salgueiro AC,1:0 (1:0),,
35,11.06.2011,16:20,Clube Náutico,-,Bragantino,2:2 (1:0),,
36,,16:20,Grêmio Barueri,-,Portuguesa (SP),1:1 (0:0),,
37,,16:20,ASA,-,Sport Club Recife,1:1 (1:0),,
38,,16:20,Vila Nova FC GO,-,Criciúma EC,2:0 (1:0),,
39,,21:00,Icasa,-,Americana Futebol,2:2 (0:1),,
40,14.06.2011,19:30,Portuguesa (SP),-,Guarani FC,3:2 (1:1),,
41,,19:30,Salgueiro AC,-,Clube Náutico,0:2 (0:0),,
42,,19:30,Goiás EC,-,Paraná Clube,0:3 (0:2),,
43,,19:30,Boa EC,-,Icasa,1:0 (0:0),,
44,,19:30,Ponte Preta,-,Grêmio Barueri,2:0 (2:0),,
45,,21:50,EC Vitória BA,-,ABC FC,1:1 (1:1),,
46,,21:50,Americana Futebol,-,São Caetano,1:0 (1:0),,
47,,21:50,Bragantino,-,Vila Nova FC GO,1:0 (0:0),,
48,,21:50,Sport Club Recife,-,Duque de Caxias,1:1 (1:0),,
49,,21:50,Criciúma EC,-,ASA,1:0 (0:0),,
50,17.06.2011,19:30,Criciúma EC,-,Boa EC,0:0 (0:0),,
51,,21:00,Portuguesa (SP),-,Bragantino,5:0 (2:0),,
52,,21:00,Grêmio Barueri,-,ASA,1:0 (1:0),,
53,,21:50,Icasa,-,São Caetano,0:0 (0:0),,
54,18.06.2011,16:20,Guarani FC,-,Americana Futebol,1:2 (1:1),,
55,,16:20,Duque de Caxias,-,Ponte Preta,0:2 (0:1),,
56,,16:20,Clube Náutico,-,Paraná Clube,1:1 (0:0),,
57,,16:20,Salgueiro AC,-,Goiás EC,2:0 (1:0),,
58,,16:20,EC Vitória BA,-,Sport Club Recife,2:0 (0:0),,
59,,21:00,Vila Nova FC GO,-,ABC FC,2:2 (2:1),,
60,21.06.2011,21:00,Bragantino,-,Guarani FC,0:0 (0:0),,
61,22.06.2011,21:00,São Caetano,-,Duque de Caxias,4:2 (3:0),,
62,24.06.2011,21:00,Paraná Clube,-,Icasa,2:0 (2:0),,
63,,21:00,Boa EC,-,Grêmio Barueri,2:0 (1:0),,
64,,21:00,Sport Club Recife,-,Criciúma EC,0:0 (0:0),,
65,25.06.2011,16:20,ABC FC,-,Clube Náutico,1:0 (1:0),,
66,,16:20,Ponte Preta,-,EC Vitória BA,0:0 (0:0),,
67,,16:20,Americana Futebol,-,Salgueiro AC,1:0 (0:0),,
68,,16:20,Goiás EC,-,Portuguesa (SP),1:4 (1:0),,
69,,21:00,ASA,-,Vila Nova FC GO,1:0 (0:0),,
70,28.06.2011,19:30,Portuguesa (SP),-,São Caetano,5:2 (4:1),,
71,,19:30,Duque de Caxias,-,Clube Náutico,0:0 (0:0),,
72,,19:30,Sport Club Recife,-,ABC FC,2:0 (1:0),,
73,,19:30,Americana Futebol,-,Grêmio Barueri,1:0 (0:0),,
74,,19:30,Guarani FC,-,Vila Nova FC GO,0:1 (0:0),,
75,,21:50,Criciúma EC,-,Bragantino,1:0 (0:0),,
76,,21:50,Salgueiro AC,-,Ponte Preta,2:3 (0:0),,
77,,21:50,Goiás EC,-,Boa EC,2:0 (1:0),,
78,,21:50,Icasa,-,ASA,1:1 (1:0),,
79,,21:50,EC Vitória BA,-,Paraná Clube,1:0 (1:0),,
80,01.07.2011,19:30,Bragantino,-,Americana Futebol,2:0 (0:0),,
81,,21:00,Vila Nova FC GO,-,Icasa,1:2 (1:2),,
82,,21:00,Boa EC,-,Salgueiro AC,0:0 (0:0),,
83,,21:50,Ponte Preta,-,Goiás EC,2:1 (1:0),,
84,02.07.2011,16:20,São Caetano,-,Sport Club Recife,3:3 (2:1),,
85,,16:20,Clube Náutico,-,Guarani FC,2:0 (1:0),,
86,,16:20,Grêmio Barueri,-,EC Vitória BA,1:0 (1:0),,
87,,16:20,ASA,-,Portuguesa (SP),2:0 (1:0),,
88,,16:20,Paraná Clube,-,Duque de Caxias,3:1 (2:0),,
89,,21:00,ABC FC,-,Criciúma EC,1:1 (1:0),,
90,05.07.2011,21:00,Duque de Caxias,-,Grêmio Barueri,2:3 (1:1),,
91,,21:00,Criciúma EC,-,Goiás EC,2:0 (0:0),,
92,08.07.2011,21:00,Portuguesa (SP),-,Salgueiro AC,1:0 (0:0),,
93,,21:00,Vila Nova FC GO,-,São Caetano,2:0 (1:0),,
94,,21:00,EC Vitória BA,-,Bragantino,4:1 (2:1),,
95,09.07.2011,21:00,Sport Club Recife,-,Ponte Preta,3:1 (1:0),,
96,,21:00,ASA,-,Paraná Clube,4:2 (3:1),,
97,,21:00,Icasa,-,Clube Náutico,1:2 (1:0),,
98,,21:00,Americana Futebol,-,Boa EC,2:1 (0:0),,
99,10.07.2011,11:00,Guarani FC,-,ABC FC,1:2 (0:2),,
100,12.07.2011,21:00,São Caetano,-,ASA,2:0 (0:0),,
101,,21:00,Clube Náutico,-,Americana Futebol,3:2 (2:2),,
102,15.07.2011,21:00,Paraná Clube,-,Vila Nova FC GO,2:1 (1:0),,
103,,21:00,Goiás EC,-,EC Vitória BA,4:1 (3:1),,
104,,21:00,Boa EC,-,Portuguesa (SP),1:2 (0:1),,
105,16.07.2011,16:20,Ponte Preta,-,Guarani FC,2:0 (1:0),,
106,,16:20,Bragantino,-,Sport Club Recife,3:2 (2:2),,
107,,16:20,Grêmio Barueri,-,Icasa,1:2 (0:1),,
108,,16:20,Salgueiro AC,-,Criciúma EC,2:1 (2:1),,
109,,21:00,ABC FC,-,Duque de Caxias,3:0 (2:0),,
